Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName
Danny Grigsby Jr,M,SBD,Raw,29.0,24-34,24-39,Open,121.6,125,337.5,355.0,365.0,,365.0,200.0,210.0,-217.5,,210.0,450.0,-475.0,-482.5,,450.0,1025.0,1,586.1,587.52,562.98,118.47,,USA,OR,WRPF,WRPF,2023-10-28,USA,VA,Manassas,The American Pro 2
Jason Vowels,M,SBD,Raw,29.0,24-34,24-39,TOpen,122.4,125,250.0,259.0,-273.0,,259.0,152.0,-159.0,-159.0,,152.0,273.0,283.0,-295.0,,283.0,694.0,4,395.98,397.22,380.57,79.98,Yes,USA,MI,USPC,,2023-11-11,USA,MI,Troy,Michigan Texas Power Bar Open
Federico Passafiume,M,SBD,Raw,18.5,18-19,19-23,Junior,57.81,59,155.0,157.5,167.5,,167.5,90.0,95.0,-102.5,,95.0,165.0,175.0,180.0,,180.0,442.5,3,385.29,390.68,382.32,74.03,Yes,,,FIPL,IPF,2022-11-06,Italy,,S.Zenone al Lambro,2 gara nazionale trofeo next generation di powerlifting maschile junior
Pavel Beketov,M,SBD,Raw,25.0,24-34,24-39,Amateur Open,88.7,90,140.0,150.0,160.0,,160.0,105.0,112.5,-115.0,,112.5,180.0,190.0,200.0,,200.0,472.5,2,307.79,303.91,291.46,63.27,Yes,Russia,,WPC-RUS,WPC,2014-06-21,Russia,LEN,St. Petersburg,St. Petersburg Championships
Daniel Martinez #11,M,SBD,Raw,29.5,24-34,24-39,MR-O,118.9,120,200.0,217.5,235.0,,235.0,130.0,140.0,150.0,,150.0,210.0,227.5,242.5,,242.5,627.5,4,361.49,361.55,346.42,73.24,Yes,USA,NY,USAPL,IPF,2018-02-18,USA,NY,,Murder of Crows Barbell Club Open
Roi Mashiach,M,SBD,Raw,22.0,20-23,19-23,J,97.0,100,210.0,-225.0,225.0,,225.0,-150.0,160.0,170.0,,170.0,230.0,245.0,255.0,,255.0,650.0,2,405.52,400.62,382.89,83.32,,,,ILPL,,2023-08-04,Israel,,Petah Tikva,Summer Challenge
Mario Wanger,M,SBD,Raw,32.0,24-34,24-39,Open,110.3,120,190.0,200.0,210.0,,210.0,132.5,140.0,145.0,,145.0,215.0,230.0,245.0,,245.0,600.0,5,355.0,352.8,337.22,72.42,Yes,Switzerland,,KDKS,IPF,2022-05-21,Switzerland,,Subingen,Deutschschweizer Meisterschaft
Taylor Engels,M,SBD,Raw,21.5,20-23,19-23,MR-Jr,82.85,83,185.0,-195.0,195.0,,195.0,-132.5,137.5,145.0,,145.0,225.0,237.5,242.5,,242.5,582.5,1,393.64,389.24,374.45,80.71,Yes,USA,MO,USAPL,IPF,2021-04-10,USA,MO,,Springfield Showdown
Terrence Curry,M,SBD,Raw,30.0,24-34,24-39,O-U,104.33,110,260.0,272.5,-282.5,,272.5,142.5,-155.0,160.0,,160.0,272.5,295.0,-307.5,,295.0,727.5,1,439.89,435.71,416.04,90.09,,USA,CT,365Strong,,2023-08-19,USA,CT,Norwood,All New England Regional
Jahan Djalali,M,SBD,Raw,28.5,24-34,24-39,MR-O,84.7,93,90.0,97.5,105.0,,105.0,47.5,55.0,-60.0,,55.0,110.0,115.0,125.0,,125.0,285.0,5,190.25,188.01,180.68,39.05,Yes,USA,OR,USAPL,IPF,2018-11-10,USA,OR,,Lift for Pit 3
